MUNID,CODEID,DISTRICT,NUM,CONS,PART,ARR,DT01,DT02,NBR_ELECT,DAT_REC,AIRE,EMAIL,ENTITEID,MS_FB_PARE,MS_FB,WIKIDATA,NAME_EN
81017,1,d'Aylmer,1,Audrey Bureau,,,,,11795,2017-10-24,25415085.2500000000,bureau.audrey@gatineau.ca,{0BE5969E-C53A-4F87-B199-E2C87DA70BB5},country:ca/cd:2481,country:ca/cd:2481/district:1,Q4831423,Aylmer District
81017,2,de Lucerne,2,Gilles Chagnon,,,,,11899,2017-10-24,20132871.9800000004,chagnon.gilles@gatineau.ca,{7EF278A2-8C09-4F99-A989-03B60025E817},country:ca/cd:2481,country:ca/cd:2481/district:2,Q48796788,Lucerne District
81017,3,de Deschênes,3,Mike Duggan,,,,,12536,2017-10-24,43103280.6700000018,duggan.mike@gatineau.ca,{6A63F114-457B-4940-A41A-AB689D799CE1},country:ca/cd:2481,country:ca/cd:2481/district:3,Q5263763,Deschênes District
81017,4,du Plateau,4,Maude Marquis-Bissonnette,,,,,13254,2017-10-24,16288946.5999999996,marquisbissonnette.maude@gatineau.ca,{266363EE-B645-4776-B0FC-F130CD379796},country:ca/cd:2481,country:ca/cd:2481/district:4,Q56071297,Plateau District
81017,5,du Manoir-des-Trembles–Val-Tétreau,5,Jocelyn Blondin,,,,,9544,2017-10-24,6859108.7300000004,blondin.jocelyn@gatineau.ca,{FC041C12-5485-4EB3-BEB2-BB72FC8647A4},country:ca/cd:2481,country:ca/cd:2481/district:5,Q56071298,Manoir-des-Trembles–Val-Tétreau District
81017,6,de l'Orée-du-Parc,6,Isabelle N. Miron,,,,,11152,2017-10-24,10303816.3499999996,miron.isabelle@gatineau.ca,{3BE19BFB-808E-4E24-97D9-A7845E95C383},country:ca/cd:2481,country:ca/cd:2481/district:6,Q7105406,Orée-du-Parc District
81017,7,du Parc-de-la-Montagne–Saint-Raymond,7,Louise Boudrias,,,,,10767,2017-10-24,10649180.8200000003,boudrias.louise@gatineau.ca,{A953109C-09FE-4563-9CD0-0F3F0CD2C427},country:ca/cd:2481,country:ca/cd:2481/district:7,Q56071299,Parc-de-la-Montagne–Saint-Raymond District
81017,8,de Hull-Wright,8,Cédric Tessier,,,,,9174,2017-10-24,9048423.0999999996,tessier.cedric@gatineau.ca,{D715C531-6AA8-4AE4-88DD-F226BE0B0BDC},country:ca/cd:2481,country:ca/cd:2481/district:8,Q5936133,Hull–Val-Tétreau District
81017,9,de Limbour,9,Renée Amyot,,,,,10720,2017-10-24,14832982.5600000005,miron.isabelle@gatineau.ca,{21960494-7EF0-4355-8EF5-7AFA23496A1F},country:ca/cd:2481,country:ca/cd:2481/district:9,Q6549045,Limbour District
81017,10,de Touraine,10,Nathalie Lemieux,,,,,9796,2017-10-24,4935511.7100000000,lemieux.nathalie@gatineau.ca,{3A50C6B2-EECF-42B7-BCBB-571F9CA28C24},country:ca/cd:2481,country:ca/cd:2481/district:10,Q17034762,Touraine District
81017,11,de Pointe-Gatineau,11,Myriam Nadeau,,,,,10144,2017-10-24,7557175.2999999998,nadeau.myriam@gatineau.ca,{F4C28BCB-08E3-4212-818F-5755C56D1EE5},country:ca/cd:2481,country:ca/cd:2481/district:11,Q7249707,Promenades District
81017,12,du Carrefour-de-l'Hôpital,12,Gilles Carpentier,,,,,9376,2017-10-24,21060998.4400000013,carpentier.gilles@gatineau.ca,{5BE5D36E-E4EA-4F0A-892C-F49C2DAD9EA2},country:ca/cd:2481,country:ca/cd:2481/district:12,Q5046049,Carrefour-de-l'Hôpital District
81017,13,du Versant,13,Daniel Champagne,,,,,10194,2017-10-24,5627831.2699999996,champagne.daniel@gatineau.ca,{673C0E43-20D8-4391-B4FA-7AE6404D0C6A},country:ca/cd:2481,country:ca/cd:2481/district:13,Q48792194,Versant District
81017,14,de Bellevue,14,Pierre Lanthier,,,,,11401,2017-10-24,28250955.8000000007,lanthier.pierre@gatineau.ca,{6365D37B-66E3-4BD4-94FF-DDFE15B796E8},country:ca/cd:2481,country:ca/cd:2481/district:14,Q4883927,Bellevue District
81017,15,du Lac-Beauchamp,15,Jean-François LeBlanc,,,,,10468,2017-10-24,15948764.7599999998,leblanc.jean-francois@gatineau.ca,{66435FF6-C11E-4AA2-B366-DDA489139364},country:ca/cd:2481,country:ca/cd:2481/district:15,Q24190987,Lac-Beauchamp District
81017,16,de la Rivière-Blanche,16,Jean Lessard,,,,,12608,2017-10-24,55887805.3400000036,lessard.jean@gatineau.ca,{36549778-C50E-4D1B-9588-A64D2E619AA8},country:ca/cd:2481,country:ca/cd:2481/district:16,Q17117919,Rivière-Blanche District
81017,17,de Masson-Angers,17,Marc Carrrière,,,,,10916,2017-10-24,66589677.7800000012,carriere.marc@gatineau.ca,{D8364C3D-498D-4BF4-8C5A-274ECD4501C3},country:ca/cd:2481,country:ca/cd:2481/district:17,Q6784822,Masson-Angers District
81017,18,de Buckingham,18,Martin Lajeunesse,,,,,10511,2017-10-24,18138869.5899999999,lajeunesse.martin@gatineau.ca,{406FB876-DDD6-49C4-B9E4-FE7B61036025},country:ca/cd:2481,country:ca/cd:2481/district:18,Q16255697,Buckingham District
